SampleID	Salinity	pH	Redox_potential	Dissolved_oxygen	Temperature	AP	SM	NH4+_N	NO3-_N	TN	TC	TOC	Clay	Silt	Fine_sand	Medium_sand	Coarse_sand
mud06.2021.04.X1	20.59 	8.13 	50.6	5.95 	26.10 	20.22	25.29960053	8.734893048	0.73627451	0.047	1.24	0.699897459	22.95	50.21	10.44	8.02	8.37
mud06.2021.04.X2	20.59 	8.13 	50.6	5.95 	26.10 	20.22	25.29960053	8.734893048	0.73627451	0.047	1.24	0.699897459	22.95	50.21	10.44	8.02	8.37
mud06.2021.04.X3	20.59 	8.13 	50.6	5.95 	26.10 	20.22	25.29960053	8.734893048	0.73627451	0.047	1.24	0.699897459	22.95	50.21	10.44	8.02	8.37
mud06.2021.04.Z1	21.04 	7.92 	-62.3	5.24 	24.40 	16.8	26.99757869	5.575157546	0.760248756	0.052	0.779	0.51497388	18.42	39.38	12.62	15.33	14.23
mud06.2021.04.Z2	21.04 	7.92 	-62.3	5.24 	24.40 	16.8	26.99757869	5.575157546	0.760248756	0.052	0.779	0.51497388	18.42	39.38	12.62	15.33	14.23
mud06.2021.04.Z3	21.04 	7.92 	-62.3	5.24 	24.40 	16.8	26.99757869	5.575157546	0.760248756	0.052	0.779	0.51497388	18.42	39.38	12.62	15.33	14.23
mud07.2021.05.S1	16.21 	9.70 	-49.6	6.02 	23.80 	15.47	23.37962963	5.109607251	0.554682779	0.039	0.629	0.417158122	12.69	27.35	20.56	24.87	14.53
mud07.2021.05.S2	16.21 	9.70 	-49.6	6.02 	23.80 	15.47	23.37962963	5.109607251	0.554682779	0.039	0.629	0.417158122	12.69	27.35	20.56	24.87	14.53
mud07.2021.05.S3	16.21 	9.70 	-49.6	6.02 	23.80 	15.47	23.37962963	5.109607251	0.554682779	0.039	0.629	0.417158122	12.69	27.35	20.56	24.87	14.53
mud07.2021.05.X1	13.95 	8.72 	206.7	6.71 	25.60 	16.67	22.73249139	10.47011887	0.511210996	0.042	0.988	0.609452872	21.17	44.44	16.18	11.04	7.17
mud07.2021.05.X2	13.95 	8.72 	206.7	6.71 	25.60 	16.67	22.73249139	10.47011887	0.511210996	0.042	0.988	0.609452872	21.17	44.44	16.18	11.04	7.17
mud07.2021.05.X3	13.95 	8.72 	206.7	6.71 	25.60 	16.67	22.73249139	10.47011887	0.511210996	0.042	0.988	0.609452872	21.17	44.44	16.18	11.04	7.17
mud07.2021.05.Z1	14.73 	9.11 	213	6.57 	25.00 	16.65	21.80094787	4.782666667	0.460363636	0.041	0.758	0.493122805	13.17	26.81	17.87	24.05	18.1
mud07.2021.05.Z2	14.73 	9.11 	213	6.57 	25.00 	16.65	21.80094787	4.782666667	0.460363636	0.041	0.758	0.493122805	13.17	26.81	17.87	24.05	18.1
mud07.2021.05.Z3	14.73 	9.11 	213	6.57 	25.00 	16.65	21.80094787	4.782666667	0.460363636	0.041	0.758	0.493122805	13.17	26.81	17.87	24.05	18.1
mud08.2021.06.S1	19.91 	7.90 	168.10 	5.82 	25.80 	23.59	32.48031496	8.97516035	0.555393586	0.061	1.3	0.74092875	28.13	63.12	5.22	2.77	0.76
mud08.2021.06.S2	19.91 	7.90 	168.10 	5.82 	25.80 	23.59	32.48031496	8.97516035	0.555393586	0.061	1.3	0.74092875	28.13	63.12	5.22	2.77	0.76
mud08.2021.06.S3	19.91 	7.90 	168.10 	5.82 	25.80 	23.59	32.48031496	8.97516035	0.555393586	0.061	1.3	0.74092875	28.13	63.12	5.22	2.77	0.76
mud08.2021.06.X1	20.52 	7.83 	198.20 	6.19 	24.60 	27.64	36.67883212	21.6989049	0.576426513	0.082	1.483	0.874865416	31.48	62.55	4.03	1.69	0.25
