	mud01.2020.11.X1	mud01.2020.11.X2	mud01.2020.11.X3	mud02.2020.12.X1	mud02.2020.12.X2	mud02.2020.12.X3	mud03.2021.01.X1	mud03.2021.01.X2	mud03.2021.01.X3	mud04.2021.02.X1	mud04.2021.02.X2	mud04.2021.02.X3	mud05.2021.03.X1	mud05.2021.03.X2	mud05.2021.03.X3	mud06.2021.04.X1	mud06.2021.04.X2	mud06.2021.04.X3	mud07.2021.05.X1	mud07.2021.05.X2	mud07.2021.05.X3	mud08.2021.06.X1	mud08.2021.06.X2	mud08.2021.06.X3	mud09.2021.07.X1	mud09.2021.07.X2	mud09.2021.07.X3	mud10.2021.08.X1	mud10.2021.08.X2	mud10.2021.08.X3	mud11.2021.09.X1	mud11.2021.09.X2	mud11.2021.09.X3	mud12.2021.10.X1	mud12.2021.10.X2	mud12.2021.10.X3	mud13.2021.11.X1	mud13.2021.11.X2	mud13.2021.11.X3	mud14.2021.12.X1	mud14.2021.12.X2	mud14.2021.12.X3	mud15.2022.01.X1	mud15.2022.01.X2	mud15.2022.01.X3	mud16.2022.02.X1	mud16.2022.02.X2	mud16.2022.02.X3	mud17.2022.03.X1	mud17.2022.03.X2	mud17.2022.03.X3	mud18.2022.04.X1	mud18.2022.04.X2	mud18.2022.04.X3	mud19.2022.05.X1	mud19.2022.05.X2	mud19.2022.05.X3	mud20.2022.06.X1	mud20.2022.06.X2	mud20.2022.06.X3	mud21.2022.07.X1	mud21.2022.07.X2	mud21.2022.07.X3	mud22.2022.08.X1	mud22.2022.08.X2	mud22.2022.08.X3	mud23.2022.09.X1	mud23.2022.09.X2	mud23.2022.09.X3	mud24.2022.10.X1	mud24.2022.10.X2	mud24.2022.10.X3
cab33f1074e37923650ba983138e6539	0	9	6	14	9	12	13	15	42	18	13	28	0	9	8	6	7	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	14	12	0	7	22	21	9	16	13	0	17	14	15	10	11	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
9417307c5940ed691983f50549453dbb	31	0	40	17	8	3	35	38	0	48	71	103	0	31	31	65	60	84	6	13	19	0	4	0	0	4	0	6	9	0	18	14	12	72	56	60	64	73	54	46	31	39	66	48	43	71	85	42	4	7	19	42	53	0	3	22	12	6	13	0	0	10	4	8	21	31	4	11	6	0	3	5
f920f3c3304da527e0005e8e26c61cf3	10	13	0	14	11	10	19	28	42	22	42	29	12	27	8	22	20	21	0	0	0	0	0	0	0	6	5	0	0	12	11	9	9	23	16	34	24	33	32	20	33	17	70	34	24	20	32	32	0	0	11	18	20	20	0	4	0	0	5	0	0	0	0	0	16	18	0	0	0	0	0	0
cf2eea2a38138614b3121fc8cfae6b3a	165	64	64	7612	7026	7397	6475	6032	5263	61	42	33	45	34	17	10	28	19	49	28	22	48	51	37	20	21	15	23	8	15	20	35	21	56	63	20	107	83	55	9362	9338	8494	57	82	45	1006	906	823	5	21	13	896	1134	872	10	25	9	5	7	3	0	11	9	6	46	41	12	12	7	7	9	0
3c0de8e18bc694d98c7aaceb8f4aeadf	48	38	39	83	52	60	122	96	90	245	187	201	107	84	101	115	101	76	34	41	34	31	18	29	0	24	30	19	34	21	27	43	27	337	298	255	194	173	191	204	113	89	195	212	182	136	131	118	36	43	43	37	31	31	21	47	27	10	12	12	0	12	14	288	231	177	22	21	28	23	19	11
947cbc6d7d0ec1aa9169d896a06e2493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	38	31	32	0	14	13	10	16	13	10	19	15	0	0	12	11	17	21	0	0	0	0	0	10	0	0	0	0	0	0	10	11	0	0	0	0	11	5	9	19	16	16	11	19	17	0	0	0	6	9	7
a5d2c7829e46d61fa42fd7b41365c97b	7	4	5	27	23	32	63	108	75	77	162	143	36	36	37	80	94	70	17	26	24	0	0	7	0	9	7	9	17	11	10	17	17	70	107	85	83	102	125	42	53	63	114	82	66	77	86	83	4	13	11	19	26	16	2	8	5	4	4	0	0	8	0	14	14	15	10	4	6	2	7	7
853d8917f8ea68b8dcd0aa77d0e9f3f9	8	5	5	2	0	7	8	3	11	3	0	7	3	3	7	7	3	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	0	8	3	1	1	0	3	4	3	0	4	3	1	12	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	3	0	3	1	0	0	0
7d9bc43e1b56c9f1308694dbf5432fab	23	0	12	0	0	0	0	25	27	0	37	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	25	26	20	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27e6190a90d17cd96a15fc0a9d299229	56	51	52	76	60	79	258	251	209	569	453	435	335	341	255	260	180	189	98	73	77	37	41	26	38	24	32	39	43	34	56	76	68	785	722	646	572	667	663	284	317	253	506	446	337	345	345	370	56	103	73	58	111	71	49	61	50	15	15	21	15	33	24	470	426	348	65	118	75	41	52	49
7b0ec29d1489c3cd5fe19ca7734e4e3b	7	7	0	4	7	2	13	0	12	24	24	8	11	7	11	18	13	11	0	0	0	0	1	0	7	0	0	4	0	0	0	0	0	15	13	0	7	20	16	16	9	15	11	24	29	8	8	13	4	0	4	3	5	0	0	5	0	0	5	0	0	2	0	12	11	17	15	5	3	0	3	4
c94fe9124b9265cdd4747c6854fb1fb3	24	22	18	25	27	23	34	39	31	35	23	31	31	19	18	79	58	57	4	6	0	5	4	2	12	2	12	2	8	14	4	4	5	42	37	40	61	74	68	14	30	44	33	36	45	42	31	39	12	9	6	8	15	7	0	5	4	0	3	2	0	2	2	20	18	21	3	1	0	0	0	5
bf82267a0a66851ee01bfb4cf59f4447	0	0	0	0	31	0	129	103	113	233	177	163	123	123	89	104	111	110	97	31	78	80	0	47	0	43	0	0	58	0	0	72	46	232	258	244	223	227	218	137	114	145	199	125	130	136	119	149	0	78	0	74	65	0	49	37	62	28	0	0	44	19	0	152	125	184	87	51	95	52	26	68
